customerid,tstamp,page,cart
526377,2017-04-26 19:49:10.000000,VIEW PRODUCT,
526377,2017-04-26 19:49:38.000000,ADD TO CART,XBOX
540529,2017-04-03 14:57:03.000000,VIEW PRODUCT,
540529,2017-04-03 14:49:43.000000,SEARCH,
540529,2017-04-03 15:02:18.000000,SEARCH,
540529,2017-04-03 14:54:43.000000,SEARCH,
540529,2017-04-03 14:57:37.000000,VIEW PRODUCT,
540529,2017-04-03 14:46:13.000000,SEARCH,
540529,2017-04-03 14:44:09.000000,SEARCH,
540529,2017-04-03 14:55:56.000000,SEARCH,
540529,2017-04-03 14:39:08.000000,VIEW PRODUCT,
540529,2017-04-03 15:00:15.000000,VIEW PRODUCT,
540529,2017-04-03 14:41:39.000000,VIEW PRODUCT,
540529,2017-04-03 14:51:08.000000,SEARCH,
540529,2017-04-03 14:38:09.000000,VIEW PRODUCT,
540529,2017-04-03 14:34:44.000000,SEARCH,XBOX
540529,2017-04-03 14:42:44.000000,VIEW PRODUCT,
540529,2017-04-03 14:46:47.000000,VIEW PRODUCT,
540529,2017-04-03 14:35:07.000000,REVIEW CART,XBOX
540529,2017-04-03 14:51:59.000000,SEARCH,
540529,2017-04-03 14:42:05.000000,SEARCH,
540529,2017-04-03 14:32:00.000000,ADD TO CART,XBOX
540529,2017-04-03 14:30:01.000000,VIEW PRODUCT,
540529,2017-04-03 14:35:36.000000,VIEW PRODUCT,
672995,2017-02-27 02:10:14.000000,VIEW PRODUCT,
672995,2017-02-27 02:09:47.000000,VIEW PRODUCT,
672995,2017-02-27 02:13:41.000000,VIEW PRODUCT,
672995,2017-02-27 02:14:59.000000,SEARCH,
672995,2017-02-27 02:17:11.000000,SEARCH,
672995,2017-02-27 02:12:00.000000,VIEW PRODUCT,
672995,2017-02-27 02:08:38.000000,ADD TO CART,SWITCH
672995,2017-02-27 02:17:41.000000,SEARCH,
672995,2017-02-27 02:16:17.000000,SEARCH,
672995,2017-02-27 02:06:46.000000,VIEW PRODUCT,
611289,2017-01-27 00:34:36.000000,VIEW PRODUCT,
611289,2017-01-27 00:21:57.000000,SEARCH,
611289,2017-01-26 23:55:49.000000,VIEW PRODUCT,
611289,2017-01-27 00:30:03.000000,VIEW PRODUCT,
611289,2017-01-27 00:27:50.000000,VIEW PRODUCT,
611289,2017-01-27 00:10:22.000000,SEARCH,
611289,2017-01-27 00:03:41.000000,SEARCH,
611289,2017-01-27 00:33:23.000000,VIEW PRODUCT,
611289,2017-01-26 23:54:07.000000,VIEW PRODUCT,
611289,2017-01-27 00:00:00.000000,VIEW PRODUCT,
611289,2017-01-27 00:26:15.000000,VIEW PRODUCT,
611289,2017-01-26 23:53:18.000000,SEARCH,
611289,2017-01-27 00:05:33.000000,VIEW PRODUCT,
611289,2017-01-27 00:31:48.000000,VIEW PRODUCT,
611289,2017-01-27 00:25:54.000000,SEARCH,
611289,2017-01-27 00:37:17.000000,SEARCH,
611289,2017-01-27 00:08:23.000000,SEARCH,
611289,2017-01-25 13:15:51.000000,ADD TO CART,SWITCH
611289,2017-01-27 00:24:13.000000,SEARCH,
611289,2017-01-27 00:02:18.000000,VIEW PRODUCT,
611289,2017-01-26 23:57:48.000000,VIEW PRODUCT,
611289,2017-01-27 00:12:06.000000,VIEW PRODUCT,
611289,2017-01-27 00:14:39.000000,SEARCH,
611289,2017-01-27 00:19:38.000000,VIEW PRODUCT,
611289,2017-01-27 00:11:51.000000,SEARCH,
611289,2017-01-26 23:59:41.000000,VIEW PRODUCT,
611289,2017-01-25 13:14:37.000000,VIEW PRODUCT,
611289,2017-01-26 23:51:00.000000,VIEW PRODUCT,SWITCH
611289,2017-01-27 00:16:48.000000,VIEW PRODUCT,
611289,2017-01-27 00:15:18.000000,SEARCH,
611289,2017-01-25 13:16:39.000000,REVIEW CART,SWITCH
611289,2017-01-26 23:54:52.000000,SEARCH,
673464,2017-03-28 23:19:46.000000,REVIEW CART,SWITCH
673464,2017-03-22 21:27:37.000000,ADD TO CART,SWITCH
673464,2017-03-28 23:21:12.000000,SEARCH,
673464,2017-03-28 23:27:27.000000,VIEW PRODUCT,
673464,2017-03-28 23:27:43.000000,VIEW PRODUCT,
673464,2017-03-28 23:29:23.000000,SEARCH,
673464,2017-03-22 21:28:27.000000,VIEW PRODUCT,SWITCH
673464,2017-03-28 23:20:33.000000,VIEW PRODUCT,
673464,2017-03-28 23:15:17.000000,VIEW PRODUCT,SWITCH
673464,2017-03-28 23:24:36.000000,VIEW PRODUCT,
673464,2017-03-28 23:16:54.000000,ADD TO CART,SWITCH
673464,2017-03-22 21:24:48.000000,VIEW PRODUCT,
673464,2017-03-28 23:23:17.000000,SEARCH,
673464,2017-03-28 23:20:05.000000,VIEW PRODUCT,
608740,2017-03-11 04:27:05.000000,SEARCH,
608740,2017-03-11 04:40:15.000000,VIEW PRODUCT,
608740,2017-03-11 04:43:03.000000,SEARCH,
608740,2017-03-11 04:30:02.000000,SEARCH,
608740,2017-03-11 04:22:54.000000,SEARCH,
608740,2017-03-11 04:32:44.000000,SEARCH,
608740,2017-03-11 04:36:08.000000,SEARCH,
608740,2017-03-11 04:19:02.000000,ADD TO CART,SWITCH
608740,2017-03-11 04:18:05.000000,VIEW PRODUCT,
608740,2017-03-11 04:24:11.000000,VIEW PRODUCT,
608740,2017-03-11 04:35:39.000000,SEARCH,
608740,2017-03-11 04:38:21.000000,SEARCH,
608740,2017-03-11 04:30:35.000000,SEARCH,
608740,2017-03-11 04:20:48.000000,REVIEW CART,SWITCH
608740,2017-03-11 04:31:50.000000,SEARCH,
409001,2017-04-04 19:16:23.000000,ADD TO CART,SWITCH
409001,2017-04-04 19:13:48.000000,VIEW PRODUCT,
409001,2017-04-04 19:19:01.000000,ENTER SHIPPING INFORMATION,SWITCH
409001,2017-04-04 19:16:46.000000,REVIEW CART,SWITCH
696201,2017-03-19 13:08:16.000000,VIEW PRODUCT,
696201,2017-03-19 13:21:44.000000,VIEW PRODUCT,
696201,2017-03-19 13:17:17.000000,VIEW PRODUCT,
696201,2017-03-19 13:19:28.000000,SEARCH,
696201,2017-03-19 13:13:55.000000,VIEW PRODUCT,
696201,2017-03-19 13:14:22.000000,VIEW PRODUCT,
696201,2017-03-19 13:26:36.000000,SEARCH,
696201,2017-03-19 13:09:14.000000,SEARCH,
696201,2017-03-19 13:05:15.000000,VIEW PRODUCT,
696201,2017-03-19 13:09:45.000000,SEARCH,
696201,2017-03-19 13:25:00.000000,SEARCH,
696201,2017-03-19 13:23:39.000000,SEARCH,
696201,2017-03-19 13:06:08.000000,ADD TO CART,SWITCH
696201,2017-03-19 13:10:57.000000,SEARCH,
651196,2017-04-02 15:50:25.000000,SEARCH,
651196,2017-04-02 15:53:56.000000,VIEW PRODUCT,
651196,2017-04-02 16:02:15.000000,SEARCH,
651196,2017-04-02 15:51:02.000000,SEARCH,
651196,2017-04-02 15:38:16.000000,VIEW PRODUCT,
651196,2017-04-02 15:44:27.000000,SHIPPING FAQ,XBOX
651196,2017-04-02 15:49:53.000000,SEARCH,
651196,2017-04-02 15:54:47.000000,SEARCH,
651196,2017-04-02 16:04:19.000000,SEARCH,
651196,2017-04-02 15:42:44.000000,REVIEW CART,XBOX
651196,2017-04-02 15:47:03.000000,SEARCH,
651196,2017-04-02 15:57:17.000000,VIEW PRODUCT,
651196,2017-04-02 15:47:40.000000,VIEW PRODUCT,
651196,2017-04-02 15:40:32.000000,ADD TO CART,XBOX
651196,2017-04-02 15:59:56.000000,VIEW PRODUCT,
665348,2017-02-14 09:52:24.000000,SEARCH,
665348,2017-02-14 09:59:56.000000,SEARCH,
665348,2017-02-14 09:57:00.000000,VIEW PRODUCT,
665348,2017-02-14 09:53:30.000000,SEARCH,
665348,2017-02-14 09:56:12.000000,SEARCH,
665348,2017-02-14 10:02:10.000000,SEARCH,
665348,2017-02-14 09:58:51.000000,SEARCH,
665348,2017-02-14 09:51:07.000000,ADD TO CART,SWITCH
665348,2017-02-14 09:49:13.000000,VIEW PRODUCT,
445890,2017-01-22 23:17:51.000000,SEARCH,
445890,2017-01-22 23:06:57.000000,VIEW PRODUCT,
445890,2017-01-22 23:09:22.000000,VIEW PRODUCT,
445890,2017-01-22 23:06:19.000000,VIEW PRODUCT,
445890,2017-01-22 23:01:09.000000,ADD TO CART,XBOX
445890,2017-01-22 22:59:37.000000,VIEW PRODUCT,
445890,2017-01-22 23:20:08.000000,SEARCH,
445890,2017-01-22 23:05:53.000000,VIEW PRODUCT,
445890,2017-01-22 23:10:30.000000,SEARCH,
445890,2017-01-22 23:03:25.000000,REVIEW CART,XBOX
445890,2017-01-22 23:13:18.000000,SEARCH,
445890,2017-01-22 23:16:05.000000,VIEW PRODUCT,
693652,2017-04-17 14:42:33.000000,ADD TO CART,SWITCH
693652,2017-04-17 14:42:16.000000,VIEW PRODUCT,
471645,2017-02-28 04:55:17.000000,SEARCH,
471645,2017-02-28 04:53:39.000000,SHIPPING FAQ,XBOX
471645,2017-02-28 05:02:45.000000,SEARCH,
